player,insta_mentions,G,MP,PTS,TRB,AST,STL,BLK,FG%,eFG%,TOV
Desmond Bane,2,26.0,34.4,24.7,4.5,5.2,1.2,0.7,0.463,0.55,3.0
Devin Booker,33,19.0,35.8,27.7,5.5,8.2,0.6,0.4,0.475,0.523,2.9
Devin Vassell,1,22.0,29.8,18.3,3.5,2.8,0.9,0.1,0.466,0.559,1.4
Devonte' Graham,0,5.0,10.4,3.0,0.6,3.2,0.4,0.2,0.333,0.417,0.4
Dexter Dennis,0,3.0,8.0,7.3,2.3,1.3,0.0,0.0,0.588,0.618,0.0
Dillon Brooks,1,26.0,31.4,14.1,3.5,1.6,0.9,0.0,0.482,0.575,1.8
Domantas Sabonis,5,27.0,34.6,19.0,12.2,7.4,0.9,0.7,0.584,0.603,3.0
Dominick Barlow,0,8.0,5.6,1.3,1.0,0.0,0.1,0.0,0.333,0.333,0.0
Donovan Mitchell,11,22.0,36.5,27.7,5.6,5.5,1.8,0.5,0.453,0.526,2.6
Donte DiVincenzo,1,27.0,20.6,9.8,3.0,1.8,1.0,0.3,0.455,0.616,1.0
Dorian Finney-Smith,0,26.0,29.3,10.5,5.0,1.2,0.6,0.6,0.468,0.616,0.9
Doug McDermott,0,25.0,16.3,6.1,1.2,1.6,0.4,0.1,0.433,0.604,0.6
Draymond Green,8,15.0,25.1,9.7,5.5,5.8,0.4,0.7,0.49,0.577,2.4
Drew Eubanks,1,27.0,17.0,6.3,4.3,1.1,0.3,1.1,0.6,0.609,1.2
Dru Smith,0,9.0,14.6,4.3,1.6,1.6,1.0,0.3,0.455,0.561,0.6
Duncan Robinson,1,27.0,29.0,15.0,2.8,3.1,0.5,0.1,0.497,0.643,1.3
Duop Reath,0,18.0,14.7,8.2,2.9,1.1,0.6,0.3,0.429,0.534,0.7
Dwight Powell,0,25.0,14.5,4.2,3.2,1.2,0.4,0.4,0.696,0.707,0.4
Dylan Windler,0,3.0,2.3,1.0,0.3,0.3,0.0,0.0,0.5,0.75,0.0
Dyson Daniels,0,29.0,23.7,6.3,4.2,2.9,1.4,0.3,0.406,0.463,1.0
E.J. Liddell,0,3.0,3.0,1.3,0.7,0.0,0.0,0.3,0.25,0.25,0.3
Emoni Bates,2,8.0,7.6,1.9,1.1,0.4,0.1,0.1,0.25,0.35,0.1
Eric Gordon,0,24.0,31.5,13.2,2.1,2.8,1.0,0.5,0.455,0.568,1.4
Eugene Omoruyi,0,15.0,5.7,4.5,1.6,0.5,0.4,0.1,0.595,0.655,0.5
Evan Fournier,0,1.0,16.0,2.0,1.0,1.0,1.0,0.0,0.167,0.167,0.0
Evan Mobley,2,21.0,33.6,16.0,10.5,2.9,0.8,1.7,0.573,0.577,2.3
Filip Petrusev,0,3.0,3.3,1.0,0.3,0.0,0.0,0.0,0.5,0.5,0.0
Filip Petrusev,0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,,,0.0
